infinitivo,ending,stem,pensyl,prePensyl,posPensyl,pronoun,tense,mood,class_suff,class_pensyl,class_prePensyl,class_posPensyl,conjugacion
bromear,ar,NULL,me,NULL,me,yo,0,0,o,0,NULL,0,bromeo
juzgar,ar,g,juz,j,uz,yo,0,0,o,0,NULL,0,juzgo
saltar,ar,t,sal,s,al,yo,0,0,o,0,NULL,0,salto
patear,ar,NULL,te,NULL,te,yo,0,0,o,0,NULL,0,pateo
matar,ar,t,ma,NULL,ma,yo,0,0,o,0,NULL,0,mato
besar,ar,s,be,NULL,be,yo,0,0,o,0,NULL,0,beso
tejer,er,j,te,NULL,te,yo,0,0,o,0,NULL,0,tejo
golpear,ar,NULL,pe,NULL,pe,yo,0,0,o,0,NULL,0,golpeo
anudar,ar,d,nu,NULL,nu,yo,0,0,o,0,NULL,0,anudo
etiquetar,ar,t,que,q,ue,yo,0,0,o,0,NULL,0,etiqueto
aterrizar,ar,z,rri,r,ri,yo,0,0,o,0,NULL,0,aterrizo
durar,ar,r,du,NULL,du,yo,0,0,o,0,NULL,0,duro
lanzar,ar,z,lan,l,an,yo,0,0,o,0,NULL,0,lanzo
nivelar,ar,l,ve,NULL,ve,yo,0,0,o,0,NULL,0,nivelo
lamer,er,m,la,NULL,la,yo,0,0,o,0,NULL,0,lamo
iluminar,ar,n,mi,NULL,mi,yo,0,0,o,0,NULL,0,ilumino
gustar,ar,t,gus,g,us,yo,0,0,o,0,NULL,0,gusto
listar,ar,t,lis,l,is,yo,0,0,o,0,NULL,0,listo
escuchar,ar,ch,cu,NULL,cu,yo,0,0,o,0,NULL,0,escucho
vivir,ir,v,vi,NULL,vi,yo,0,0,o,0,NULL,0,vivo
mirar,ar,r,mi,NULL,mi,yo,0,0,o,0,NULL,0,miro
amar,ar,m,a,NULL,a,yo,0,0,o,0,NULL,0,amo
administrar,ar,tr,nis,n,is,yo,0,0,o,0,NULL,0,administro
marchar,ar,ch,mar,m,ar,yo,0,0,o,0,NULL,0,marcho
marcar,ar,c,mar,m,ar,yo,0,0,o,0,NULL,0,marco
hacer,er,c,ha,NULL,ha,yo,0,0,go,0,NULL,0,hago
medir,ir,d,me,NULL,me,yo,0,0,o,mi,NULL,mi,mido
memorizar,ar,z,ri,NULL,ri,yo,0,0,o,0,NULL,0,memorizo
remendar,ar,d,men,m,en,yo,0,0,o,mien,m,ien,remiendo
ordeñar,ar,ñ,de,NULL,de,yo,0,0,o,0,NULL,0,ordeño
perder,er,d,per,p,er,yo,0,0,o,pier,p,ier,pierdo
extrañar,ar,ñ,tra,t,ra,yo,0,0,o,0,NULL,0,extraño
mezclar,ar,cl,mez,m,ez,yo,0,0,o,0,NULL,0,mezclo
mover,er,v,mo,NULL,mo,yo,0,0,o,mue,m,ue,muevo
multiplicar,ar,c,pli,p,li,yo,0,0,o,0,NULL,0,multiplico
asesinar,ar,n,si,NULL,si,yo,0,0,o,0,NULL,0,asesino
clavar,ar,v,cla,c,la,yo,0,0,o,0,NULL,0,clavo
nombrar,ar,br,nom,n,om,yo,0,0,o,0,NULL,0,nombro
necesitar,ar,t,si,NULL,si,yo,0,0,o,0,NULL,0,necesito
advertir,ir,t,ver,v,er,yo,0,0,o,vier,v,ier,advierto
fijar,ar,j,fi,NULL,fi,yo,0,0,o,0,NULL,0,fijo
prestar,ar,t,pres,p,res,yo,0,0,o,0,NULL,0,presto
numerar,ar,r,me,NULL,me,yo,0,0,o,0,NULL,0,numero
obedecer,er,c,de,NULL,de,yo,0,0,o,dez,d,ez,obedezco
objetar,ar,t,je,NULL,je,yo,0,0,o,0,NULL,0,objeto
observar,ar,v,ser,s,er,yo,0,0,o,0,NULL,0,observo
obtener,er,n,te,NULL,te,yo,0,0,go,ten,t,en,obtengo
ofender,er,d,fen,f,en,yo,0,0,o,0,NULL,0,ofendo
ofrecer,er,c,fre,f,re,yo,0,0,o,frez,f,rez,ofrezco
abrir,ir,br,a,NULL,a,yo,0,0,o,0,NULL,0,abro
ordenar,ar,n,de,NULL,de,yo,0,0,o,0,NULL,0,ordeno
pedir,ir,d,pe,NULL,pe,yo,0,0,o,pi,NULL,pi,pido
inundar,ar,d,nun,n,un,yo,0,0,o,0,NULL,0,inundo
adeudar,ar,d,deu,d,eu,yo,0,0,o,0,NULL,0,adeudo
empacar,ar,c,pa,NULL,pa,yo,0,0,o,0,NULL,0,empaco
pintar,ar,t,pin,p,in,yo,0,0,o,0,NULL,0,pinto
estacionar,ar,n,cio,c,io,yo,0,0,o,0,NULL,0,estaciono
pegar,ar,g,pe,NULL,pe,yo,0,0,o,0,NULL,0,pego
acariciar,ar,ci,ri,NULL,ri,yo,0,0,o,0,NULL,0,acaricio
pedalear,ar,NULL,le,NULL,le,yo,0,0,o,0,NULL,0,pedaleo
pelar,ar,l,pe,NULL,pe,yo,0,0,o,0,NULL,0,pelo
echar,ar,ch,e,NULL,e,yo,0,0,o,0,NULL,0,echo
ejecutar,ar,t,cu,NULL,cu,yo,0,0,o,0,NULL,0,ejecuto
llamar,ar,m,lla,l,la,yo,0,0,o,0,NULL,0,llamo
levantar,ar,t,van,v,an,yo,0,0,o,0,NULL,0,levanto
planear,ar,NULL,ne,NULL,ne,yo,0,0,o,0,NULL,0,planeo
planificar,ar,c,fi,NULL,fi,yo,0,0,o,0,NULL,0,planifico
plantar,ar,t,plan,p,lan,yo,0,0,o,0,NULL,0,planto
ubicar,ar,c,bi,NULL,bi,yo,0,0,o,0,NULL,0,ubico
tocar,ar,c,to,NULL,to,yo,0,0,o,0,NULL,0,toco
jugar,ar,g,ju,NULL,ju,yo,0,0,o,jue,j,ue,juego
complacer,er,c,pla,p,la,yo,0,0,o,plaz,p,laz,complazco
señalar,ar,l,a,NULL,a,yo,0,0,o,0,NULL,0,señalo
lustrar,ar,tr,lus,l,us,yo,0,0,o,0,NULL,0,lustro
poseer,er,NULL,se,NULL,se,yo,0,0,o,0,NULL,0,poseo
derramar,ar,m,rra,r,ra,yo,0,0,o,0,NULL,0,derramo
practicar,ar,c,ti,NULL,ti,yo,0,0,o,0,NULL,0,practico
rezar,ar,z,re,NULL,re,yo,0,0,o,0,NULL,0,rezo
preceder,er,d,ce,NULL,ce,yo,0,0,o,0,NULL,0,precedo
preferir,ir,r,fe,NULL,fe,yo,0,0,o,fie,f,ie,prefiero
preparar,ar,r,pa,NULL,pa,yo,0,0,o,0,NULL,0,preparo
regalar,ar,l,ga,NULL,ga,yo,0,0,o,0,NULL,0,regalo
presionar,ar,n,sio,s,io,yo,0,0,o,0,NULL,0,presiono
apretar,ar,t,pre,p,re,yo,0,0,o,prie,p,rie,aprieto
fingir,ir,g,fin,f,in,yo,0,0,jo,0,NULL,0,finjo
impedir,ir,d,pe,NULL,pe,yo,0,0,o,pi,NULL,pi,impido
imprimir,ir,m,pri,p,ri,yo,0,0,o,0,NULL,0,imprimo
producir,ir,c,du,NULL,du,yo,0,0,o,duz,d,uz,produzco
programar,ar,m,gra,g,ra,yo,0,0,o,0,NULL,0,programo
prometer,er,t,me,NULL,me,yo,0,0,o,0,NULL,0,prometo
proteger,er,g,te,NULL,te,yo,0,0,jo,0,NULL,0,protejo
proveer,er,NULL,ve,NULL,ve,yo,0,0,o,0,NULL,0,proveo
bombear,ar,NULL,be,NULL,be,yo,0,0,o,0,NULL,0,bombeo
castigar,ar,g,ti,NULL,ti,yo,0,0,o,0,NULL,0,castigo
empujar,ar,j,pu,NULL,pu,yo,0,0,o,0,NULL,0,empujo
llover,er,v,llo,l,lo,yo,0,0,-,-,-,-,-
alcanzar,ar,z,can,c,an,yo,0,0,o,0,NULL,0,alcanzo
dar,ar,d,NULL,N,ULL,yo,0,0,oy,-,-,-,doy
recibir,ir,b,ci,NULL,ci,yo,0,0,o,0,NULL,0,recibo
reconocer,er,c,no,NULL,no,yo,0,0,o,noz,n,oz,reconozco
grabar,ar,b,gra,g,ra,yo,0,0,o,0,NULL,0,grabo
reducir,ir,c,du,NULL,du,yo,0,0,o,duz,d,uz,reduzco
reflejar,ar,j,fle,f,le,yo,0,0,o,0,NULL,0,reflejo
rechazar,ar,z,cha,c,ha,yo,0,0,o,0,NULL,0,rechazo
soltar,ar,t,sol,s,ol,yo,0,0,o,suel,s,uel,suelto
confiar,ar,fi,con,c,on,yo,0,0,fío,0,NULL,0,confío
permanecer,er,c,ne,NULL,ne,yo,0,0,o,nez,n,ez,permanezco
recordar,ar,d,cor,c,or,yo,0,0,o,cuer,c,uer,recuerdo
acordar,ar,d,cor,c,or,yo,0,0,o,cuer,c,uer,acuerdo
alquilar,ar,l,qui,q,ui,yo,0,0,o,0,NULL,0,alquilo
repetir,ir,t,pe,NULL,pe,yo,0,0,o,pi,NULL,pi,repito
reemplazar,ar,z,pla,p,la,yo,0,0,o,0,NULL,0,reemplazo
responder,er,d,pon,p,on,yo,0,0,o,0,NULL,0,respondo
reproducir,ir,c,du,NULL,du,yo,0,0,o,duz,d,uz,reproduzco
solicitar,ar,t,ci,NULL,ci,yo,0,0,o,0,NULL,0,solicito
rescatar,ar,t,ca,NULL,ca,yo,0,0,o,0,NULL,0,rescato
regresar,ar,s,gre,g,re,yo,0,0,o,0,NULL,0,regreso
rimar,ar,m,ri,NULL,ri,yo,0,0,o,0,NULL,0,rimo
enjuagar,ar,g,jua,j,ua,yo,0,0,o,0,NULL,0,enjuago
arriesgar,ar,g,rries,r,ries,yo,0,0,o,0,NULL,0,arriesgo
robar,ar,b,ro,NULL,ro,yo,0,0,o,0,NULL,0,robo
remar,ar,m,re,NULL,re,yo,0,0,o,0,NULL,0,remo
frotar,ar,t,fro,f,ro,yo,0,0,o,0,NULL,0,froto
arruinar,ar,n,rrui,r,rui,yo,0,0,o,0,NULL,0,arruino
regir,ir,g,re,NULL,re,yo,0,0,jo,ri,NULL,ri,rijo
dominar,ar,n,mi,NULL,mi,yo,0,0,o,0,NULL,0,domino
navegar,ar,g,ve,NULL,ve,yo,0,0,o,0,NULL,0,navego
satisfacer,er,c,fa,NULL,fa,yo,0,0,go,0,NULL,0,satisfago
salvar,ar,v,sal,s,al,yo,0,0,o,0,NULL,0,salvo
ahorrar,ar,rr,ho,NULL,ho,yo,0,0,o,0,NULL,0,ahorro
guardar,ar,d,guar,g,uar,yo,0,0,o,0,NULL,0,guardo
atornillar,ar,ll,ni,NULL,ni,yo,0,0,o,0,NULL,0,atornillo
sellar,ar,ll,se,NULL,se,yo,0,0,o,0,NULL,0,sello
buscar,ar,c,bus,b,us,yo,0,0,o,0,NULL,0,busco
separar,ar,r,pa,NULL,pa,yo,0,0,o,0,NULL,0,separo
servir,ir,v,ser,s,er,yo,0,0,o,sir,s,ir,sirvo
establecer,er,c,ble,b,le,yo,0,0,o,blez,b,lez,establezco
compartir,ir,t,par,p,ar,yo,0,0,o,0,NULL,0,comparto
resguardar,ar,d,guar,g,uar,yo,0,0,o,0,NULL,0,resguardo
comprar,ar,pr,com,c,om,yo,0,0,o,0,NULL,0,compro
suspirar,ar,r,pi,NULL,pi,yo,0,0,o,0,NULL,0,suspiro
firmar,ar,m,fir,f,ir,yo,0,0,o,0,NULL,0,firmo
pecar,ar,c,pe,NULL,pe,yo,0,0,o,0,NULL,0,peco
esquiar,ar,qui,es,NULL,es,yo,0,0,quío,0,NULL,0,esquío
disminuir,ir,nu,mi,NULL,mi,yo,0,0,yo,0,NULL,0,disminuyo
oler,er,l,o,NULL,o,yo,0,0,o,hue,h,ue,huelo
fumar,ar,m,fu,NULL,fu,yo,0,0,o,0,NULL,0,fumo
estornudar,ar,d,nu,NULL,nu,yo,0,0,o,0,NULL,0,estornudo
roncar,ar,c,ron,r,on,yo,0,0,o,0,NULL,0,ronco
nevar,ar,v,ne,NULL,ne,yo,0,0,-,-,-,-,-
empapar,ar,p,pa,NULL,pa,yo,0,0,o,0,NULL,0,empapo
sonar,ar,n,so,NULL,so,yo,0,0,o,sue,s,ue,sueno
deletrear,ar,NULL,tre,t,re,yo,0,0,o,0,NULL,0,deletreo
malcriar,ar,cri,mal,m,al,yo,0,0,crío,0,NULL,0,malcrío
vaporizar,ar,z,ri,NULL,ri,yo,0,0,o,0,NULL,0,vaporizo
arrancar,ar,c,rran,r,ran,yo,0,0,o,0,NULL,0,arranco
comenzar,ar,z,men,m,en,yo,0,0,o,mien,m,ien,comienzo
almacenar,ar,n,ce,NULL,ce,yo,0,0,o,0,NULL,0,almaceno
estirar,ar,r,ti,NULL,ti,yo,0,0,o,0,NULL,0,estiro
tener,er,n,te,NULL,te,yo,0,0,go,ten,t,en,tengo
sufrir,ir,fr,su,NULL,su,yo,0,0,o,0,NULL,0,sufro
sugerir,ir,r,ge,NULL,ge,yo,0,0,o,gie,g,ie,sugiero
suponer,er,n,po,NULL,po,yo,0,0,go,pon,p,on,supongo
sorprender,er,d,pren,p,ren,yo,0,0,o,0,NULL,0,sorprendo
rodear,ar,NULL,de,NULL,de,yo,0,0,o,0,NULL,0,rodeo
sospechar,ar,ch,pe,NULL,pe,yo,0,0,o,0,NULL,0,sospecho
enchufar,ar,f,chu,c,hu,yo,0,0,o,0,NULL,0,enchufo
conversar,ar,s,ver,v,er,yo,0,0,o,0,NULL,0,converso
saborear,ar,NULL,re,NULL,re,yo,0,0,o,0,NULL,0,saboreo
tomar,ar,m,to,NULL,to,yo,0,0,o,0,NULL,0,tomo
atormentar,ar,t,men,m,en,yo,0,0,o,0,NULL,0,atormento
tentar,ar,t,ten,t,en,yo,0,0,o,tien,t,ien,tiento
aterrorizar,ar,z,ri,NULL,ri,yo,0,0,o,0,NULL,0,aterrorizo
comprobar,ar,b,pro,p,ro,yo,0,0,o,prue,p,rue,compruebo
agradecer,er,c,de,NULL,de,yo,0,0,o,dez,d,ez,agradezco
tildar,ar,d,til,t,il,yo,0,0,o,0,NULL,0,tildo
remolcar,ar,c,mol,m,ol,yo,0,0,o,0,NULL,0,remolco
comerciar,ar,ci,mer,m,er,yo,0,0,o,0,NULL,0,comercio
negociar,ar,ci,go,NULL,go,yo,0,0,o,0,NULL,0,negocio
entrenar,ar,n,tre,t,re,yo,0,0,o,0,NULL,0,entreno
transportar,ar,t,por,p,or,yo,0,0,o,0,NULL,0,transporto
viajar,ar,j,via,v,ia,yo,0,0,o,0,NULL,0,viajo
temblar,ar,bl,tem,t,em,yo,0,0,o,tiem,t,iem,tiemblo
tratar,ar,t,tra,t,ra,yo,0,0,o,0,NULL,0,trato
volver,er,v,vol,v,ol,yo,0,0,o,vuel,v,uel,vuelvo
escribir,ir,b,cri,c,ri,yo,0,0,o,0,NULL,0,escribo
usar,ar,s,u,NULL,u,yo,0,0,o,0,NULL,0,uso
visitar,ar,t,si,NULL,si,yo,0,0,o,0,NULL,0,visito
caminar,ar,n,mi,NULL,mi,yo,0,0,o,0,NULL,0,camino
querer,er,r,que,q,ue,yo,0,0,o,quie,q,uie,quiero
lavar,ar,v,la,NULL,la,yo,0,0,o,0,NULL,0,lavo
gastar,ar,t,gas,g,as,yo,0,0,o,0,NULL,0,gasto
desperdiciar,ar,ci,di,NULL,di,yo,0,0,o,0,NULL,0,desperdicio
vigilar,ar,l,gi,NULL,gi,yo,0,0,o,0,NULL,0,vigilo
pesar,ar,s,pe,NULL,pe,yo,0,0,o,0,NULL,0,peso
susurrar,ar,rr,su,NULL,su,yo,0,0,o,0,NULL,0,susurro
silbar,ar,b,sil,s,il,yo,0,0,o,0,NULL,0,silbo
trabajar,ar,j,ba,NULL,ba,yo,0,0,o,0,NULL,0,trabajo
bostezar,ar,z,te,NULL,te,yo,0,0,o,0,NULL,0,bostezo
acercar,ar,c,cer,c,er,yo,0,0,o,0,NULL,0,acerco
